link,headline,source,date,description,category
https://edition.cnn.com/2024/09/14/politics/donald-trump-kamala-harris-laura-loomer/index.html,How a false rumor about pets in Ohio and Laura Loomer’s presence helped derail Trump’s planned attacks on Harris,CNN,2024-09-14,"Donald Trump wanted to spend this week attacking one of Democratic rival Kamala Harris’ biggest political vulnerabilities. Instead, he spent most of the week falsely claiming that migrants are eating pets in a small town in Ohio and defending his embrace of a far-right agitator whose presence is causing concern among his allies.",politics
https://edition.cnn.com/2024/09/15/politics/fact-check-trump-harris-military-draft/index.html,Fact check: Trump falsely claims Harris is talking about bringing back the military draft,CNN,2024-09-15,Former President Donald Trump has conjured up an inflammatory false claim about Vice President Kamala Harris’ policy positions — baselessly saying Friday that Harris is talking about forcing Americans to serve in the military.,politics
https://edition.cnn.com/2024/09/13/politics/china-tariffs-biden-trump/index.html,Biden finalizes increases to some of Trump’s China tariffs,CNN,2024-09-13,The Biden administration said Friday that it has finalized tariff hikes on certain Chinese-made products that the president first announced in May.,politics
https://edition.cnn.com/2024/09/11/politics/9-11-political-legacy-2024-election-analysis/index.html,The long and complex political legacy of 9/11,CNN,2024-09-11,At least there’s one thing that’s sacred.,politics
https://edition.cnn.com/2024/09/13/politics/pope-francis-trump-harris-abortion/index.html,Pope Francis criticizes Trump and Harris and says voters must choose between ‘lesser of two evils’,CNN,2024-09-13,"Pope Francis on Friday described the choice US voters must make in the presidential election as one between the “lesser of two evils,” deeming former President Donald Trump’s anti-migrant policies and Vice President Kamala Harris’ support of abortion rights as both being “against life.”",politics
https://edition.cnn.com/2024/09/15/politics/video/trump-gunshots-vicinity-florida-digvid-nr,Hear what law enforcement sources are telling John Miller about shots fired in ‘vicinity’ of Trump,CNN,2024-09-15,Hear what law enforcement sources are telling John Miller about shots fired in ‘vicinity’ of Trump,politics
https://edition.cnn.com/2024/09/13/politics/super-pac-michigan-kamala-harris-doug-emhoff/index.html,GOP-aligned group airs antisemitic ads in Michigan featuring Doug Emhoff and highlighting Harris’ Jewish ties,CNN,2024-09-13,A super PAC with Republican ties is running digital ads in Michigan promoting the Jewish faith of Kamala Harris’s husband and touting the vice president’s support for Israel in an apparent play to undercut Harris with the battleground state’s large Arab American population amid ongoing political fallout over the war in Gaza.,politics
https://edition.cnn.com/2024/09/10/politics/fact-check-debate-trump-harris/index.html,Fact-checking the ABC News presidential debate,CNN,2024-09-10,"Former President Donald Trump delivered more than 30 false claims during Tuesday’s presidential debate against Vice President Kamala Harris, CNN’s preliminary count found – as he did during his June debate against President Joe Biden.",politics
https://edition.cnn.com/2024/09/13/politics/pennsylvania-mail-in-ballots-flawed-dates/index.html,"Pennsylvania mail-in ballots with flawed dates on envelopes can be thrown out, court rules",CNN,2024-09-13,Pennsylvania voters could have their mail-in ballots thrown out if they do not write accurate dates on envelopes they use to return them under a state Supreme Court ruling issued Friday that could impact the presidential race.,politics
https://edition.cnn.com/2024/09/09/politics/harris-trump-immigration-crime-analysis/index.html,Why playing it safe on immigration and crime could be a big risk for Harris,CNN,2024-09-09,Vice President Kamala Harris has so far largely avoided confronting Donald Trump on some of his most racially inflammatory policy proposals – even as she continues to underperform among the Hispanic and Black voters who could face the harshest consequences from the former president’s plans.,politics
https://edition.cnn.com/2024/08/18/politics/iowa-republicans-trump-2024/index.html,Why Iowa Republicans who once opposed Trump are ready to vote for him,CNN,2024-08-18,"Shanen Ebersole is voting for Donald Trump. With plenty of reservations, but zero hesitation.",politics
https://edition.cnn.com/2024/09/13/politics/green-party-jill-stein-supreme-court-nevada/index.html,Green Party urges Supreme Court to intervene in Nevada ballot dispute,CNN,2024-09-13,"The Nevada Green Party on Friday asked the US Supreme Court to weigh into an election dispute with potentially significant implications in the presidential battleground, asking the high court to pause a state court ruling that would keep candidate Jill Stein off the ballot.",politics
https://edition.cnn.com/2024/09/15/politics/kamala-harris-bidenomics-trump-advertisements/index.html,The one Harris comment Trump and his allies have spent $38 million for voters to see,CNN,2024-09-15,"On an August afternoon last year in Washington, Kamala Harris appeared at a retail village to promote the Biden administration’s economic record.",politics
https://edition.cnn.com/2024/09/14/politics/tariffs-trump-mckinley-what-matters/index.html,Why Trump’s trade hero turned away from tariffs,CNN,2024-09-14,It’s hard to make sense of tariffs in today’s political conversation.,politics
https://edition.cnn.com/2024/09/11/politics/debate-reaction-persuadable-voters/index.html,"The debate didn’t sway some voters CNN talked to, but others know exactly who they’re backing now",CNN,2024-09-11,"Joan London knew when Tuesday’s debate began she would not vote for Donald Trump. But when it ended, she was in a most unfamiliar place: ready to cast her first vote for a Democrat for president. In battleground Pennsylvania, by the way.",politics
https://edition.cnn.com/2021/01/08/politics/gallery/kamala-harris/index.html,In pictures: Vice President Kamala Harris,CNN,2021-01-08,In pictures: Vice President Kamala Harris,politics
https://edition.cnn.com/2024/09/15/politics/russia-alaska-norad-aircraft/index.html,"Russian military aircraft detected off Alaskan coast for third time in past week, NORAD says",CNN,2024-09-15,The North American Aerospace Defense command intercepted Russian military aircraft flying near Alaska three times over the last week in what appears to be an uptick in activity amid tensions between the US and Russia.,politics
https://edition.cnn.com/2024/09/13/politics/abortion-supreme-court-oconnor-scalia-rehnquist/index.html,The inside story of how Sandra Day O’Connor rebuffed pressure from Scalia and others to overturn Roe v. Wade,CNN,2024-09-13,"During much of the 1980s, Justice Sandra O’Connor, the first woman on the Supreme Court, cast a consistent vote against abortion rights.",politics
https://edition.cnn.com/2024/09/13/politics/biden-starmer-meeting-ukraine-missiles/index.html,Biden signals openness to using Western long-range missiles inside Russia as he meets Britain’s leader to discuss,CNN,2024-09-13,"President Joe Biden is signaling new openness in allowing Ukraine to fire missiles provided by the West on targets deep inside Russia, and plans to discuss the matter with his new British counterpart at the White House on Friday.",politics
https://edition.cnn.com/2024/09/15/politics/trump-attempted-assassination-man-detained/index.html,Man detained in apparent assassination attempt on Trump criticized former president on social media,CNN,2024-09-15,"A 58-year-old man detained Sunday in connection with an apparent assassination attempt on Donald Trump in Florida is a self-employed affordable housing builder in Hawaii who went on social media to weigh in on politics and current events, at times criticizing the former president.",politics
https://edition.cnn.com/politics/election-2024-key-dates-dg/index.html,What to expect in the sprint to Election Day – and beyond,CNN,2024-09-11,The race to Election Day in November is in high gear.,politics
https://edition.cnn.com/2024/09/15/politics/vance-immigrants-pets-springfield-ohio-cnntv/index.html,JD Vance defends baseless rumor about Haitian immigrants eating pets,CNN,2024-09-15,"Republican vice presidential candidate JD Vance on Sunday reiterated false claims about Haitian immigrants eating the pets of residents in Springfield, Ohio.",politics
https://edition.cnn.com/2024/09/14/politics/fact-check-harris-campaign-social-media/index.html,Fact check: Harris campaign social media account has repeatedly deceived with misleading edits and captions,CNN,2024-09-14,A social media account run by Vice President Kamala Harris’ campaign has been repeatedly deceptive.,politics
https://edition.cnn.com/2024/09/13/politics/ketanji-brown-jackson-abby-phillip-cnn-interview/index.html,Justice Jackson says she might have left legal career had she known the challenges of caring for daughter,CNN,2024-09-13,"As she struggled to care for a child with special needs, Justice Ketanji Brown Jackson said in a wide-ranging interview with CNN on Friday that she felt “inadequate” at the time and might have given up her demanding legal career if she had initially understood the extent of her daughter’s challenges.",politics
https://edition.cnn.com/2024/09/13/politics/burt-jones-georgia-2020-election/index.html,"Georgia Lt. Gov. Burt Jones won’t be charged in Trump election subversion case, prosecutor says",CNN,2024-09-13,The special prosecutor appointed to investigate Georgia Lt. Gov. Burt Jones’ role as a fake elector after the 2020 election announced he will not move forward with criminal charges against the former state senator.,politics
https://edition.cnn.com/2024/08/19/politics/gallery/democratic-national-convention/index.html,In pictures: The 2024 Democratic National Convention,CNN,2024-08-19,In pictures: The 2024 Democratic National Convention,politics
https://edition.cnn.com/2024/09/04/politics/kfile-harris-border-wall-asylum-contradicts-progressive-immigration-positions/index.html,"KFile: Harris move to the center on border wall, asylum contradicts her years of progressive immigration positions",CNN,2024-09-04,Vice President Kamala Harris likes to portray herself as tough on the border and immigration.,politics
https://edition.cnn.com/2024/09/15/politics/joe-manchin-mitt-romney-intv/index.html,Manchin signals he could endorse Harris while Romney stays coy,CNN,2024-09-15,"Sen. Joe Manchin, the conservative Democrat-turned-independent who had toyed with a presidential run and has long been a thorn in the side of the left, has been mum about the candidate he’s backing in November.",politics
